codeNomCom;codeCom;nomCom;dep
69207 - Saint-Germain-au-Mont-d'Or;69207;Saint-Germain-au-Mont-d'Or;69
69212 - Saint-Jean-des-Vignes;69212;Saint-Jean-des-Vignes;69
69213 - Saint-Jean-de-Touslas;69213;Saint-Jean-de-Touslas;69
69219 - Saint-Laurent-d'Agny;69219;Saint-Laurent-d'Agny;69
69228 - Saint-Maurice-sur-Dargoire;69228;Saint-Maurice-sur-Dargoire;69
69233 - Saint-Romain-au-Mont-d'Or;69233;Saint-Romain-au-Mont-d'Or;69
69236 - Saint-Romain-en-Gier;69236;Saint-Romain-en-Gier;69
69237 - Saint-Sorlin;69237;Saint-Sorlin;69
69241 - Taluyers;69241;Taluyers;69
69244 - Tassin-la-Demi-Lune;69244;Tassin-la-Demi-Lune;69
69249 - Thurins;69249;Thurins;69
69250 - La Tour-de-Salvagny;69250;La Tour-de-Salvagny;69
69252 - Trèves;69252;Trèves;69
69255 - Vaugneray;69255;Vaugneray;69
69256 - Vaulx-en-Velin;69256;Vaulx-en-Velin;69
69259 - Vénissieux;69259;Vénissieux;69
69260 - Vernaison;69260;Vernaison;69
69264 - Villefranche-sur-Saône;69264;Villefranche-sur-Saône;69
69266 - Villeurbanne;69266;Villeurbanne;69
69268 - Vourles;69268;Vourles;69
69270 - Chaponnay;69270;Chaponnay;69
69271 - Chassieu;69271;Chassieu;69
69272 - Communay;69272;Communay;69
69273 - Corbas;69273;Corbas;69
69275 - Décines-Charpieu;69275;Décines-Charpieu;69
69276 - Feyzin;69276;Feyzin;69
69277 - Genas;69277;Genas;69
69278 - Genay;69278;Genay;69
69281 - Marennes;69281;Marennes;69
69282 - Meyzieu;69282;Meyzieu;69
69283 - Mions;69283;Mions;69
69284 - Montanay;69284;Montanay;69
69286 - Rillieux-la-Pape;69286;Rillieux-la-Pape;69
69290 - Saint-Priest;69290;Saint-Priest;69
69291 - Saint-Symphorien-d'Ozon;69291;Saint-Symphorien-d'Ozon;69
69292 - Sathonay-Camp;69292;Sathonay-Camp;69
69293 - Sathonay-Village;69293;Sathonay-Village;69
69294 - Sérézin-du-Rhône;69294;Sérézin-du-Rhône;69
69295 - Simandres;69295;Simandres;69
69296 - Solaize;69296;Solaize;69
69297 - Ternay;69297;Ternay;69
69381 - Lyon 1er Arrondissement;69381;Lyon 1er Arrondissement;69
69382 - Lyon 2e Arrondissement;69382;Lyon 2e Arrondissement;69
69383 - Lyon 3e Arrondissement;69383;Lyon 3e Arrondissement;69
69384 - Lyon 4e Arrondissement;69384;Lyon 4e Arrondissement;69
69385 - Lyon 5e Arrondissement;69385;Lyon 5e Arrondissement;69
69386 - Lyon 6e Arrondissement;69386;Lyon 6e Arrondissement;69
69387 - Lyon 7e Arrondissement;69387;Lyon 7e Arrondissement;69
69388 - Lyon 8e Arrondissement;69388;Lyon 8e Arrondissement;69
69389 - Lyon 9e Arrondissement;69389;Lyon 9e Arrondissement;69
;69123;Lyon;69
